Epoch 001/100 [0059/0164] --{'loss_classifier': 0.7260985970497131, 'loss_box_reg': 0.09852828830480576, 'loss_objectness': 0.6937291622161865, 'loss_rpn_box_reg': 0.3514130115509033}ETA: 2:22:31.905204
Epoch 001/100 [0060/0164] --{'loss_classifier': 0.7306285500526428, 'loss_box_reg': 0.0725705474615097, 'loss_objectness': 0.6945177912712097, 'loss_rpn_box_reg': 0.2482822835445404}ETA: 2:22:30.135321
Epoch 001/100 [0061/0164] --{'loss_classifier': 0.7315237522125244, 'loss_box_reg': 0.03637256845831871, 'loss_objectness': 0.6957473754882812, 'loss_rpn_box_reg': 0.5220528244972229}ETA: 2:22:27.672175
Epoch 001/100 [0062/0164] --{'loss_classifier': 0.7313673496246338, 'loss_box_reg': 0.07141301780939102, 'loss_objectness': 0.6951121091842651, 'loss_rpn_box_reg': 0.13936053216457367}ETA: 2:22:25.954455
Epoch 001/100 [0063/0164] --{'loss_classifier': 0.7236962914466858, 'loss_box_reg': 0.024558141827583313, 'loss_objectness': 0.6952542066574097, 'loss_rpn_box_reg': 0.26073405146598816}ETA: 2:22:23.466224
Epoch 001/100 [0064/0164] --{'loss_classifier': 0.7248368263244629, 'loss_box_reg': 0.042637139558792114, 'loss_objectness': 0.695604681968689, 'loss_rpn_box_reg': 0.46741780638694763}ETA: 2:22:21.548133
Epoch 001/100 [0065/0164] --{'loss_classifier': 0.736086905002594, 'loss_box_reg': 0.1083812341094017, 'loss_objectness': 0.6953662633895874, 'loss_rpn_box_reg': 0.35060355067253113}ETA: 2:22:19.581649
Epoch 001/100 [0066/0164] --{'loss_classifier': 0.7286346554756165, 'loss_box_reg': 0.0721714124083519, 'loss_objectness': 0.6955461502075195, 'loss_rpn_box_reg': 0.5412498712539673}ETA: 2:22:18.185275
Epoch 001/100 [0067/0164] --{'loss_classifier': 0.7306857109069824, 'loss_box_reg': 0.1101219654083252, 'loss_objectness': 0.6939064860343933, 'loss_rpn_box_reg': 0.2540591359138489}ETA: 2:22:17.352597
Epoch 001/100 [0068/0164] --{'loss_classifier': 0.7332146763801575, 'loss_box_reg': 0.08471407741308212, 'loss_objectness': 0.6927765607833862, 'loss_rpn_box_reg': 0.38956373929977417}ETA: 2:22:15.454878
Epoch 001/100 [0069/0164] --{'loss_classifier': 0.7305893301963806, 'loss_box_reg': 0.07076314836740494, 'loss_objectness': 0.6958848237991333, 'loss_rpn_box_reg': 0.4758630692958832}ETA: 2:22:14.045888
Epoch 001/100 [0070/0164] --{'loss_classifier': 0.7345005869865417, 'loss_box_reg': 0.08993713557720184, 'loss_objectness': 0.6959888935089111, 'loss_rpn_box_reg': 0.2995823621749878}ETA: 2:22:12.233012
Epoch 001/100 [0071/0164] --{'loss_classifier': 0.735327422618866, 'loss_box_reg': 0.05342678353190422, 'loss_objectness': 0.6936764121055603, 'loss_rpn_box_reg': 0.0705990418791771}ETA: 2:22:10.503464
Epoch 001/100 [0072/0164] --{'loss_classifier': 0.7269511222839355, 'loss_box_reg': 0.07917752116918564, 'loss_objectness': 0.695104718208313, 'loss_rpn_box_reg': 0.36517763137817383}ETA: 2:22:08.726136
Epoch 001/100 [0073/0164] --{'loss_classifier': 0.7282921671867371, 'loss_box_reg': 0.06251759827136993, 'loss_objectness': 0.6942895650863647, 'loss_rpn_box_reg': 0.37944042682647705}ETA: 2:22:07.658723
Epoch 001/100 [0074/0164] --{'loss_classifier': 0.7321839332580566, 'loss_box_reg': 0.06879059970378876, 'loss_objectness': 0.6939803957939148, 'loss_rpn_box_reg': 0.3600654602050781}ETA: 2:22:05.497079
Epoch 001/100 [0075/0164] --{'loss_classifier': 0.7288720011711121, 'loss_box_reg': 0.05671071633696556, 'loss_objectness': 0.6957979202270508, 'loss_rpn_box_reg': 0.4741135537624359}ETA: 2:22:03.679887
Epoch 001/100 [0076/0164] --{'loss_classifier': 0.7294933199882507, 'loss_box_reg': 0.049000948667526245, 'loss_objectness': 0.6947903633117676, 'loss_rpn_box_reg': 0.33415699005126953}ETA: 2:22:01.965318
Epoch 001/100 [0077/0164] --{'loss_classifier': 0.7296846508979797, 'loss_box_reg': 0.07294490933418274, 'loss_objectness': 0.6954379081726074, 'loss_rpn_box_reg': 0.4326833486557007}ETA: 2:22:00.768162
Epoch 001/100 [0078/0164] --{'loss_classifier': 0.7344741225242615, 'loss_box_reg': 0.048384614288806915, 'loss_objectness': 0.6964144706726074, 'loss_rpn_box_reg': 0.38684171438217163}ETA: 2:21:59.801751
